itemsets,odd
frozenset({'cases'}),32.85714285714286
frozenset({'coronavirus'}),11.571428571428571
frozenset({'days'}),10.0
frozenset({'masks'}),9.0
frozenset({'schools'}),8.75
frozenset({'community'}),7.833333333333333
frozenset({'open'}),7.5
frozenset({'pandemic'}),6.666666666666667
frozenset({'trump'}),6.391304347826087
frozenset({'new'}),6.1724137931034475
frozenset({'health'}),6.0
frozenset({'state'}),5.5
frozenset({'mask'}),5.25
frozenset({'children'}),5.142857142857142
frozenset({'weeks'}),4.8
frozenset({'reason'}),4.75
frozenset({'home'}),4.333333333333333
frozenset({'students'}),4.2
frozenset({'amp'}),4.0256410256410255
frozenset({'social'}),4.0
frozenset({'covid'}),4.0
frozenset({'july'}),3.8888888888888897
frozenset({'today'}),3.714285714285714
frozenset({'country'}),3.5999999999999996
"frozenset({'new', 'coronavirus'})",3.5999999999999996
frozenset({'months'}),3.5
frozenset({'week'}),3.4545454545454546
frozenset({'safe'}),3.4000000000000004
frozenset({'needs'}),3.4000000000000004
frozenset({'support'}),3.2
frozenset({'need'}),3.2
frozenset({'heard'}),3.2
frozenset({'hours'}),3.1666666666666665
frozenset({'year'}),3.0000000000000004
frozenset({'stay'}),3.0
frozenset({'killed'}),3.0
frozenset({'feeling'}),2.9999999999999996
frozenset({'public'}),2.9999999999999996
frozenset({'says'}),2.9999999999999996
frozenset({'left'}),2.8333333333333335
frozenset({'record'}),2.8333333333333335
frozenset({'long'}),2.8333333333333335
frozenset({'work'}),2.777777777777778
frozenset({'care'}),2.75
frozenset({'family'}),2.7272727272727275
frozenset({'pay'}),2.714285714285714
frozenset({'getting'}),2.6666666666666665
frozenset({'thread'}),2.5999999999999996
frozenset({'americans'}),2.571428571428571
frozenset({'help'}),2.5625
frozenset({'asking'}),2.5
frozenset({'took'}),2.5
frozenset({'use'}),2.5
frozenset({'set'}),2.4
frozenset({'learn'}),2.4
frozenset({'trying'}),2.4
frozenset({'ask'}),2.4
frozenset({'find'}),2.4
frozenset({'people'}),2.3249999999999997
frozenset({'news'}),2.25
frozenset({'stop'}),2.1999999999999997
frozenset({'told'}),2.1999999999999997
frozenset({'watch'}),2.1666666666666665
frozenset({'strong'}),2.0
frozenset({'women'}),2.0
frozenset({'pretty'}),2.0
frozenset({'better'}),1.9166666666666665
frozenset({'day'}),1.875
frozenset({'away'}),1.875
frozenset({'want'}),1.8399999999999999
frozenset({'idea'}),1.8333333333333333
frozenset({'able'}),1.7999999999999998
frozenset({'called'}),1.7999999999999998
frozenset({'dead'}),1.7999999999999998
frozenset({'way'}),1.6666666666666667
frozenset({'tonight'}),1.6
frozenset({'cause'}),1.6
frozenset({'school'}),1.588235294117647
frozenset({'great'}),1.5833333333333333
frozenset({'little'}),1.5555555555555558
frozenset({'read'}),1.4999999999999998
frozenset({'check'}),1.4999999999999998
frozenset({'talk'}),1.4999999999999998
frozenset({'life'}),1.4615384615384617
frozenset({'fight'}),1.4285714285714286
frozenset({'definitely'}),1.4285714285714286
frozenset({'things'}),1.4
frozenset({'happened'}),1.3333333333333333
frozenset({'american'}),1.2857142857142856
frozenset({'die'}),1.2222222222222223
frozenset({'let'}),1.2173913043478262
frozenset({'said'}),1.2142857142857144
frozenset({'night'}),1.2
frozenset({'answer'}),1.2
frozenset({'thanks'}),1.2
frozenset({'place'}),1.1666666666666667
frozenset({'sign'}),1.1666666666666667
frozenset({'world'}),1.1333333333333335
frozenset({'business'}),1.125
frozenset({'know'}),1.1153846153846154
